nombre,marca,precio_venta,genero,volumen_ml,concentracion,imagen_url,descripcion_corta
"Miami for Her Eau de Parfum","Bagues",17999,"Femenino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/Transparente_0005_Miami-her.png?v=1763050494","Una fragancia audaz y femenina que despierta el deseo y enciende la confianza. Miami for her es un manifiesto de glamour y fuerza, creado para mujeres que saben que la verdadera joya son ellas mismas."
"Ginebra Eau de Parfum","Bagues",17999,"Femenino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/BGINEF50_1_683d9eb5-186f-4987-8101-febb75434cdd.png?v=1756851004","Una fragancia que brilla con luz propia. GINEBRA FEM es intensidad, sofisticación y sensualidad en estado puro. Representa a mujeres fuertes, seguras y magnéticas, cuya presencia deja huella. Desde el inicio, la flor de naranjo y el exótico azafrán irrumpen con una frescura vibrante, marcando el tono de una experiencia olfativa inolvidable. El corazón combina la delicadeza del jazmín con el car..."
"Prades Eau de Parfum","Bagues",17999,"Femenino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/Foto-Producto-08Ago2025-B_0000_Prades.png?v=1761593433","Un tributo a la feminidad en todas sus formas. La frescura vibrante de la mandarina y la pera abre paso a un bouquet blanco de gardenia, jazmín y flor de azahar. En el fondo, la calidez del cedro, la vainilla y el Haba Tonka deja una estela suave, profunda y memorable"
"Mumbai Eau de Parfum","Bagues",17999,"Femenino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/Foto_Producto_08Ago2025_0003_Mumbai.png?v=1756911303","Una fragancia que despierta el deseo de viajar, de explorar lo nuevo y conectar con cada rincón del mundo. Mumbai es un perfume floral y amaderado que rinde homenaje a la autenticidad y la curiosidad de la mujer libre y decidida. Su salida luminosa mezcla la frescura de la bergamota con la delicadeza envolvente de las flores de azahar, evocando el comienzo de un camino lleno de descubrimientos...."
"Charlotte Eau de Parfum","Bagues",17999,"Femenino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/BCHTTF50_1_bf447f8f-44c9-4c24-a94d-7d4d33590cbb.png?v=1756850902","Esta fragancia encarna la dualidad de la mujer contemporánea: elegante y misteriosa, dulce y poderosa, sofisticada y atrevida. Su salida cautiva con una fusión inesperada de almendra, café, bergamota y limón, una combinación que despierta los sentidos con un toque vibrante y provocador. Desde el primer instante, este aroma deja una impresión audaz y seductora. El corazón floral de jazmín, nardo..."
"Marsella Eau de Parfum","Bagues",17999,"Femenino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/Productos_0011_Marsella.png?v=1756910987","Un golpe de aire fresco y libertad que transforma la noche en escenario de osadía. Embriagante, desenfrenada y enigmática, esta fragancia floral oriental captura el espíritu de las mujeres que se atreven a brillar sin reglas. La dulzura intensa de la miel se fusiona con notas cítricas y la audacia de la naranja amarga, creando una salida vibrante e inolvidable. En su corazón, un bouquet provoca..."
"Amsterdam Femenino Eau de Parfum","Bagues",17999,"Femenino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/Productos_0016_Amsterdan.png?v=1756911066","Una fragancia que despierta los sentidos con una mezcla provocadora, sensual y profundamente adictiva. Desde el primer instante, su combinación audaz de almizcle ambreta, palomitas de maíz, vainilla y ylang ylang impacta con una dulzura envolvente y original. En el corazón, la frescura luminosa del nerolí se une con la suavidad jugosa del melocotón y la calidez del sándalo, generando un contras..."
"New York Sexy Eau de Parfum","Bagues",17999,"Femenino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/Productos_0010_New_York_Sexy.png?v=1756910811","Una fragancia envolvente y sofisticada, pensada para mujeres que desean destacar con un magnetismo suave pero irresistible. Comienza con una chispa fresca de mandarina y el toque especiado de la pimienta rosa, que anticipan un corazón femenino y encantador donde la gardenia se funde con el dulzor del algodón de azúcar. Su fondo cálido de sándalo y vainilla abraza la piel con una sensualidad per..."
"Verona Eau de Parfum","Bagues",17999,"Femenino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/BVEROF50_1_2e038e6c-a4d6-46cd-91bd-6fc826ede1f3.png?v=1756851357","Inspirada en la ciudad más romántica del mundo, Verona es una fragancia dulce y encantadora que evoca la belleza de los primeros amores. Sus notas de salida, con pronia, lichi y fresia, abren con una frescura suave y luminosa, como un paseo por puentes antiguos al atardecer. En el corazón, una delicada fusión de rosa, muguete y magnolia perfuma el aire con una feminidad atemporal y sutilmente c..."
"Brujas Eau de Parfum","Bagues",17999,"Femenino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/Productos_0014_Brujas.png?v=1756911044","Un perfume que invita a cruzar el umbral hacia un mundo lleno de hechizos y encantos. Brujas es una fragancia intensa y envolvente que despierta los sentidos con la frescura luminosa de la bergamota, la sensualidad del jazmín y la elegancia atemporal de la tuberosa. Un comienzo etéreo que anticipa un viaje floral lleno de misterio. En su corazón, las fresias, el muguete y la magnolia florecen c..."
"Creta Eau de Parfum","Bagues",17999,"Femenino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/FotoProducto-Dic2025_0006_Creta_1.png?v=1767724878","Type: Versace Eros Pour Femme  Un aroma luminoso y sofisticado que combina cítricos vibrantes con flores delicadas y maderas suaves, creando una estela femenina, envolvente y poderosa. Sus notas frescas se funden con un fondo cálido y almizclado, ideal para mujeres que irradian seguridad, sensualidad y magnetismo natural."
"Berlín Eau de Parfum","Bagues",17999,"Femenino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/Foto-Producto-08Ago2025-B_0011_Berlin.png?v=1761595340","Aceptá el llamado a desafiar lo conocido y cruzá el umbral hacia un mundo provocador. Berlin es una fragancia intrépida y audaz, que juega con contrastes intensos, fusionando la luz y la oscuridad en una mezcla adictiva. Para mujeres que no se rinden ante lo establecido, que se animan a lo prohibido y viven con intensidad cada experiencia. En su salida, la bergamota se mezcla con la dulzura jug..."
"Sidney Eau de Parfum","Bagues",17999,"Femenino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/Foto_Producto_08Ago2025_0001_Sidney.png?v=1756911288","Con su esencia relajada pero cosmopolita, Sidney evoca la libertad de un estilo de vida al aire libre, playas icónicas y una energía vibrante. Esta fragancia captura ese espíritu con una composición fresca, floral y sofisticada, ideal para mujeres que abrazan su autenticidad sin renunciar a la elegancia. Su salida combina la jugosidad de la mandarina con la calidez especiada de la nuez moscada,..."
"Atenas Eau de Parfum","Bagues",17999,"Femenino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/0015_Atenas.png?v=1772111119","El poder divino de una mujer que fascina a su paso. Atenas es una fragancia que desata pasiones, inolvidable desde la primera impresión. Su carácter sensual y fresco se manifiesta con una salida vibrante de mandarina verde, jazmín de agua y flor de jengibre, que despiertan la piel y los sentidos con una combinación chispeante y luminosa. Es la fragancia de las que se animan a todo, de las que d..."
"Siena Eau de Parfum","Bagues",17999,"Femenino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/Productos_0008_Siena.png?v=1756911074","Siena envuelve la piel con la chispa de la pimienta rosa y la frescura de la grosella negra. Jazmín, rosa y heliotropo florecen en su corazón, mientras la calidez de la vainilla, el cedro y el pachulí evelan su sensualidad. Pasión y encanto eterno en cada gota."
"Manhattan Rosé Eau de Parfum","Bagues",17999,"Femenino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/Foto-Producto-08Ago2025-B_0005_Manhatan-Rose.png?v=1761595246","Su espíritu glamoroso te hace brillar con luz propia, tanto de día como de noche. Fresca, chispeante y sofisticada, esta fragancia captura la esencia de la mujer moderna: segura, elegante y siempre en movimiento. La efervescencia del champagne rosado y la intensidad de la pimienta rosa abren el camino hacia un corazón delicado y femenino de flor de melocotón y un bouquet de rosas. En el fondo, ..."
"Reine Eau de Parfum","Bagues",21999,"Femenino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/FotoProducto_0005_Reine_2025_frasco_frente_transparente_montaje.png?v=1765889410","Un aroma luminoso que refleja la grandeza de quien se atreve a liderar su propia historia. REINE es la fragancia de las mujeres decididas, empoderadas y valientes, que conquistan con determinación y elegancia. Su salida vibrante combina la dulzura jugosa de la pera con la frescura chispeante de la bergamota, marcando el inicio de una experiencia inolvidable. En el corazón, una fusión exquisita ..."
"Mykonos L'or Eau de Parfum","Bagues",17999,"Femenino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/Foto-Producto-08Ago2025-B_0004_Mykonos_Lor_2025_frasco_frente_transparente_montaje_1.png?v=1758636726","Hay aromas que no se olivdan. Como esa mezcla de flores que te abrazó desde siempre."
"New York Heroes Femenino Eau de Parfum","Bagues",17999,"Femenino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/NYHeroesFem_2025_1000.png?v=1758634170","Atrevida, determinada y libre, esta fragancia celebra la juventud como un estado del alma. NEW YORK HEROES FEM es una declaración de energía vital, alegría auténtica y feminidad moderna. Su salida chispeante combina limón, mandarina y frambuesa, con un toque cremoso de milk accord que le aporta una calidez inesperada y envolvente. En su corazón floral, el jazmín, el azahar y la peonía despierta..."
"Venecia Eau de Parfum","Bagues",17999,"Femenino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/Productos_0005_Venecia.png?v=1756910726","El flechazo de los primeros amores se vive a flor de piel, y esta fragancia también. Venecia celebra la intensidad de los sentimientos, los colores vibrantes y la magia de los momentos que nos marcan para siempre. Ideal para chicas apasionadas que viven con el corazón encendido y que encuentran belleza en cada emoción. Su salida es explosiva y alegre, con una mezcla frutal chispeante de grosell..."
"Milán Eau de Parfum","Bagues",21999,"Femenino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/FotoProducto-Dic2025_0004_Milan.png?v=1770735402","Type The Only One by Bagués.   Una fragancia que celebra la elegancia natural y el encanto irresistible de una mujer segura de sí misma. En su salida, la frescura luminosa de la bergamota se fusiona con la suavidad empolvada de la violeta, anticipando un corazón inesperado y seductor donde el aroma profundo del café contrasta delicadamente con la pureza del muguete. El fondo se despliega cálido..."
"Hawai Masculino Eau de Parfum","Bagues",21999,"Femenino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/FotoProducto_0010_Hawai_Mas_2025_frasco_frente_transparente_montaje_1.png?v=1765889518","Una oleada indomable de lavanda y menta da inicio a esta fragancia intensa y seductora, en la que el frescor del océano se encuentra con la calidez de la tierra. Hawai masculino es un elixir vibrante que evoca atardeceres ardientes, olas salvajes y una sensualidad que no se puede contener. La salida fresca y revitalizante combina lavanda y menta, marcando el ritmo de una fragancia potente y env..."
"Angers Eau de Parfum","Bagues",17999,"Femenino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/Foto-Producto-08Ago2025-B_0017_Angers.png?v=1761595456","Tu encanto puede ser angelical... o todo lo contrario. Esta fragancia enigmática y seductora revela una personalidad compleja y fascinante, atrapando tanto la luz como la sombra. En sus notas de salida, el frescor del tomillo blanco y la mandarina se mezcla con el exotismo del azafrán, dando paso a un corazón floral de muguete y ylang ylang que expresa una femineidad profunda y misteriosa. El f..."
"Praga Eau de Parfum","Bagues",21999,"Femenino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/Transparente_0001_Praga.png?v=1763050685","Es una fragancia encantadora y soñadora, que abre con un estallido de frescura gracias a la chispeante combinación de limón de Amalfi y lima, como un primer bocado de una fruta prohibida que invita a descubrir un universo de placer. Desde el primer instante, envuelve con un aura luminosa y vibrante, ideal para mujeres que desean sentirse radiantes, dulces y absolutamente inolvidables. En su cor..."
"Mykonos Eau de Parfum","Bagues",17999,"Femenino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/Foto-Producto-08Ago2025-B_0005_Mykonos_2025_frasco_frente_transparente_montaje_1.png?v=1758632905","Hipnótica, fresca y envolvente. Esta fragancia es un homenaje a la sensualidad femenina y a la belleza radiante que seduce sin esfuerzo. Floral y afrutada, revela un juego de contrastes entre dulzura e intensidad. La salida es jugosa y luminosa, con pera, melón, magnolia, durazno, mandarina y bergamota. En el corazón florecen notas de jazmín, muguet, nardos, fresias, rosa, orquídea, ciruela y v..."
"Shangai Eau de Parfum","Bagues",17999,"Femenino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/Foto-Producto-08Ago2025-B_0002_Shangai_frasco_frente_transparente_montaje_1.png?v=1758633392","Una celebración vibrante de la feminidad moderna. Shangai es una fragancia que captura el espíritu de una mujer segura de sí misma, espontánea y magnética. La explosión inicial de bergamota, mandarina y mango aporta un frescor jugoso y tropical, que marca el inicio de una experiencia olfativa luminosa y sofisticada. En su corazón, el jazmín aporta sensualidad y elegancia, mientras que el toque ..."
"Queens Eau de Parfum","Bagues",21999,"Femenino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/FotoProducto_0006_Queens_2025_frasco_frente_transparente_montaje_1.png?v=1765889376","Queens es una fragancia para mujeres naturalmente encantadoras, espontáneas y seguras de sí mismas. Su apertura es luminosa y fresca, con una combinación inusual de anís, casia y cedrón, que aporta un giro original y vibrante desde el primer instante. El aroma se despliega con estilo y carácter, dejando ver una personalidad elegante, moderna y un tanto impertinente. En su corazón florece una fu..."
"Tokio Flower Elixir Eau de Parfum","Bagues",17999,"Femenino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/Tokio-transp.png?v=1772205862","Tokio Flower Elixir, una fragancia que celebra la unión entre lo delicado y lo intenso. Sus notas florales se mezclan con acordes dulces y envolventes, creando un perfume adictivo, moderno y profundamente femenino."
"Positano Eau de Parfum","Bagues",21999,"Femenino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/FotoProducto-Dic2025_0003_Positano.png?v=1770734959","El sol radiante de la costa amalfitana y el azul profundo del Mediterráneo inspiran esta fragancia fresca y encantadora. Con su carácter floral y frutal, captura la esencia de un día brillante junto al mar que se transforma en una noche mágica. Abre con una combinación chispeante de limón siciliano, manzana, cedro y campanilla que transmite vitalidad y frescura. El corazón revela un delicado bo..."
"Tokio Flower Eau de Parfum","Bagues",17999,"Femenino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/Productos_0007_Tokio_Flower.png?v=1756911083","Una flor nace en el corazón de la ciudad, frágil y poderosa al mismo tiempo. Tokio Flower es una oda a la belleza inesperada, que transforma lo cotidiano en extraordinario. Libre, delicada y luminosa, esta fragancia floral opulenta expresa con elegancia el equilibrio entre sensibilidad y fortaleza. Su salida combina la frescura de la mandarina con la dulzura vibrante de las grosellas y la inten..."
"New York Femenino Eau de Parfum","Bagues",17999,"Femenino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/Foto-Producto-08Ago2025-B_0003_New-York.png?v=1761595096","Libre, vibrante y espontánea, New York es una fragancia que captura el pulso inconfundible de una ciudad que nunca se detiene. Su salida fresca, con hojas de cítricos, bergamota, notas verdes y esencias chispeantes, despierta los sentidos y transmite la emoción de caminar por las avenidas de una gran metrópoli con actitud y estilo. Es un homenaje a quienes viven con confianza, curiosidad y gana..."
"Rio Eau de Parfum","Bagues",17999,"Femenino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/BRIOUNX50_1_ad8e3bf9-6e47-41d5-a9cc-fa90cb920799.png?v=1756853239","Una fragancia unisex con alma libre, joven y vibrante. RÍO evoca el ritmo de una ciudad que no se detiene, con una apertura chispeante de bergamota, piña, mandarina, cardamomo y papaya que despierta los sentidos con energía y desenfado. Es una invitación a fluir con naturalidad, a vivir sin etiquetas, y a encontrar el equilibrio perfecto entre frescura y autenticidad. Su corazón revela un costa..."
"Capri Eau de Parfum","Bagues",21999,"Femenino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/FotoProducto-Dic2025_0007_Capri.png?v=1770735255","Una fragancia que captura la libertad y la frescura de una escapada al Mediterráneo. Su salida vibrante de limón de Amalfi y acordes aromáticos frescos despierta los sentidos como una bocanada de aire marino. En el corazón, la suavidad floral del jazmín y la peonía se entrelaza con el carácter chispeante de la pimienta rosa, creando una combinación luminosa y femenina. El fondo cálido y sensual..."
"París Rosé Eau de Parfum","Bagues",21999,"Femenino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/Transparente_0002_Paris.png?v=1763050637","La vida puede ser color de rosa… y esta fragancia lo confirma. Inspirada en los momentos de felicidad cotidiana, París Rosé es una caricia floral que ilumina el alma con optimismo y delicadeza. Un aroma encantador que transforma lo simple en extraordinario, para mujeres que celebran cada instante con una sonrisa y creen que la belleza está en disfrutar lo esencial. En sus notas de salida, la du..."
"París Cristal Eau de Parfum","Bagues",17999,"Femenino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/Foto-Producto-08Ago2025-B_0001_Paris.png?v=1761594941","La esencia de un día soleado, donde el cielo brilla y la piel se enciende de alegría. Esta fragancia captura la calidez del verano con una luminosidad envolvente y una frescura sofisticada. Paris Cristal es una invitación a disfrutar del placer del sol en la piel, del viento cálido en el rostro y de los días que parecen infinitos. Diseñada para mujeres que irradian alegría y disfrutan cada inst..."
"Viena Eau de Parfum","Bagues",17999,"Femenino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/Vinea.png?v=1774968664","Viena revela una transformación que nace desde lo profundo  y se expresa en cada detalle. Sus notas de salida frescas y luminosas despiertan los sentidos, un corazón floral envolvente acompaña el proceso, y un fondo cálido y sensual deja una huella persistente. Un aroma que acompaña tu evolución y celebra la belleza que nace cuando te animás a transformarte."
"Los Angeles Eau de Parfum","Bagues",21999,"Femenino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/FotoProducto-Dic2025_0005_Los-Angeles.png?v=1770734959","Brillá con luz propia con LOS ÁNGELES, una fragancia floral impactante y adictiva. Diseñada para mujeres atrevidas, seguras y carismáticas, que irradian glamour con cada paso. Su salida vibrante de frambuesa, neroli y limón de Amalfi despierta los sentidos con una frescura chispeante y sensual, como el inicio de una alfombra roja. En el corazón, las notas florales de jazmín, flor de naranjo afr..."
"Rio Be Eau de Parfum","Bagues",17999,"Femenino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/BRIOBE50_1_4368f659-d087-4253-9165-232803c634ae.png?v=1756851261","Tpye CK Be by Bagués.  Donde la luna acaricia Ipanema, la lavanda y la bergamota despiertan la noche. Un susurro de flores blancas y especias se funde con la calidez del almizcle y el sándalo, en una fragancia pensada para todos, que celebra la libertad, la conexión y la autenticidad. Ligera y a la vez profunda, acompaña cada paso con su estela vibrante y envolvente."
"Mahattan Party Eau de Parfum","Bagues",17999,"Femenino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/Foto-Producto-08Ago2025-B_0008_Manhattan_Party_2025_frasco_frente_transparente_montaje_1.png?v=1758633625","Con una energía vibrante y provocadora, MANHATTAN PARTY es la esencia de una noche inolvidable. Diseñada para mujeres que viven intensamente, esta fragancia floral es un verdadero cocktail de audacia y libertad. La salida explosiva de lichi, frambuesa y licor marca el ritmo con una frescura afrutada y festiva que enciende los sentidos desde el primer instante. El corazón revela notas marinas y ..."
"Praga Luna Eau de Parfum","Bagues",21999,"Femenino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/FotoProducto-Dic2025_0002_Praga-Luna.png?v=1770734959","Las exploradoras de la vida tienen su fragancia. Deliciosa, risueña y femenina, Praga Luna combina un espíritu luminoso con un toque de misterio. Un perfume tentador, con matices vibrantes e insolentes que invitan a atreverse siempre un poco más. Su salida fresca y chispeante de bayas silvestres, nerolí, mandarina y lima despierta los sentidos. El corazón revela una combinación dulce y envolven..."
"Versalles Eau de Parfum","Bagues",17999,"Femenino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/Versalles_1_1916a7d3-4f17-4386-be33-ba35d40a0e31.png?v=1775586624","Una fragancia radiante que captura el encanto de los comienzos inesperados y la magia de lo cotidiano. Versalles es una explosión de frescura chispeante y elegancia floral que celebra la feminidad con una combinación sofisticada, suave y luminosa. Perfecta para mujeres alegres, espontáneas y encantadoras, que embellecen su entorno con su sola presencia. En su salida, se perciben las notas vibra..."
"Torino Eau de Parfum","Bagues",17999,"Masculino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/BTORIM50_1_833788f1-6e55-472a-ba07-acfbd6b3c06b.png?v=1756851328","Type: Stronger whit you by Bagués.   Junto al rugir de motores en las calles de Torino, la pimienta rosa y el enebro encienden la largada. Al instante, un impulso intenso acelera el corazón de la lavanda y el tofe hacia la recta final, donde el ámbar y la vainilla celebran, con un cálido abrazo, la victoria en la meta de llegada."
"Esparta Eau de Parfum","Bagues",17999,"Masculino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/BSPRTM50_1_ed3f100f-1ee5-4b44-9cd4-139f79871e3e.png?v=1756850984","Sos fuerza, sos presencia, sos conquista. Esparta es una fragancia que encarna la valentía y la seducción del hombre que no conoce límites. Con una salida vibrante de pomelo, mandarina y notas marinas, irrumpe con un frescor intenso que impacta desde el primer instante. Ideal para quienes enfrentan cada día como un nuevo desafío, con confianza y magnetismo natural. En su corazón, la nobleza del..."
"Tokyo Eau de Parfum","Bagues",17999,"Masculino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/Productos_0006_Tokio.png?v=1756911096","El equilibrio perfecto entre fuerza y serenidad se hace aroma en esta fragancia inspirada en paisajes lejanos y modernos rituales de libertad. Un perfume masculino que transporta, como un soplo marino que recorre la ciudad y conecta cuerpo y espíritu. Comienza con una salida refrescante de menta, cítricos y cardamomo que despierta los sentidos. Luego, las notas marinas, la salvia y las especias..."
"Arizona Eau de Parfum","Bagues",21999,"Masculino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/Foto_Producto_08Ago2025_0012_Arizona.png?v=1756911353","Frescura cruda y pura. Arizona es una fragancia que transmite autenticidad y potencia, inspirada en la inmensidad del desierto y la conexión del hombre con su esencia más salvaje. Su apertura, con bergamota de Calabria y un destello picante de pimienta, despierta una sensación de libertad absoluta, como un soplo de viento seco bajo un cielo azul infinito. El corazón especiado, con pimienta de S..."
"Detroit Eau de Parfum","Bagues",17999,"Masculino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/Productos_0013_Detroit.png?v=1756910983","Las reglas están para romperse. Esta fragancia explosiva y rebelde está hecha para hombres obstinados, desobedientes y decididos, que no temen mostrar sus contrastes. Con una impronta magnética, Detroit desafía lo establecido y se convierte en el sello personal de quienes escriben su propio camino con valentía. Su salida intensa combina la frescura vibrante del pomelo con la chispa especiada de..."
